City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
chuy,24.0,UY,1549254900.0,87.0,-33.69,-53.46,63.53,6.51
ushuaia,0.0,AR,1549252800.0,58.0,-54.81,-68.31,59.0,10.29
rikitea,12.0,PF,1549254900.0,99.0,-23.12,-134.97,81.85,7.74
punta arenas,0.0,CL,1549252800.0,59.0,-53.16,-70.91,60.8,8.05
mataura,88.0,NZ,1549254901.0,53.0,-46.19,168.86,71.18,21.83
mar del plata,0.0,AR,1549254901.0,94.0,-46.43,-67.52,54.08,2.15
ipira,32.0,BR,1549254901.0,97.0,-27.41,-51.77,61.6,8.52
coihaique,0.0,CL,1549252800.0,67.0,-45.58,-72.07,62.6,2.24
puerto ayora,24.0,EC,1549254902.0,100.0,-0.74,-90.35,78.34,4.94
avarua,90.0,CK,1549252800.0,94.0,-21.21,-159.78,78.8,9.17
castro,0.0,CL,1549252800.0,72.0,-42.48,-73.76,62.6,4.7
georgetown,75.0,GY,1549252800.0,94.0,6.8,-58.16,75.2,6.93
maragogi,80.0,BR,1549254904.0,100.0,-9.01,-35.22,76.13,4.16
hermanus,92.0,ZA,1549254904.0,98.0,-34.42,19.24,63.31,3.49
lebu,0.0,ET,1549254905.0,33.0,8.96,38.73,57.55,3.94
takoradi,0.0,GH,1549254905.0,100.0,4.89,-1.75,79.96,6.17
calama,75.0,CL,1549252800.0,82.0,-22.46,-68.93,60.8,11.41
vila velha,75.0,BR,1549252800.0,88.0,-3.71,-38.6,80.6,4.7
arraial do cabo,68.0,BR,1549254906.0,97.0,-22.97,-42.02,75.01,7.96
samusu,,,,,,,,
cape town,0.0,ZA,1549252800.0,100.0,-33.93,18.42,60.8,8.05
diamantino,8.0,BR,1549254907.0,90.0,-14.4,-56.44,73.12,3.71
marcona,,,,,,,,
belmonte,8.0,PT,1549254908.0,74.0,40.36,-7.35,23.17,2.93
tabou,8.0,CI,1549254908.0,99.0,4.42,-7.36,81.8,11.99
vaini,0.0,IN,1549252800.0,64.0,15.34,74.49,71.6,13.87
cidreira,100.0,BR,1549254908.0,86.0,-30.17,-50.22,68.8,7.63
neuquen,0.0,AR,1549249200.0,40.0,-38.95,-68.06,73.4,6.93
caravelas,24.0,BR,1549254909.0,100.0,-17.73,-39.27,81.62,17.58
rio gallegos,0.0,AR,1549252800.0,63.0,-51.62,-69.22,60.8,2.24
